,id,Popular_Sum,Date
1313,970747812311740416,81193,2018-03-05
1314,970772377201070080,3081,2018-03-05
1315,970914681069039617,35942,2018-03-06
1316,971106671631130624,6235,2018-03-06
1317,971224396890124288,167030,2018-03-07
1318,971307576959885312,5023,2018-03-07
1319,971459140890411008,497,2018-03-07
1320,971466308855332864,39235,2018-03-07
1321,971510290163499008,963,2018-03-07
1322,971550967018614784,20402,2018-03-08
1323,971618409187127296,198275,2018-03-08
1324,971624496825159680,49933,2018-03-08
1325,971810418128691200,17054,2018-03-08
1326,971811614411276288,13548,2018-03-08
1327,971812680594964480,11125,2018-03-08
1328,971814004887715840,5984,2018-03-08
1329,971815058475921408,9422,2018-03-08
1330,971879393143406593,9136,2018-03-08
1331,971898600274870272,4694,2018-03-09
1332,971969114435563520,1810,2018-03-09
1333,972136022854135808,1492,2018-03-09
1334,972149891848798208,28582,2018-03-09
1335,972151775934365697,1072,2018-03-09
1336,972223971813818369,6278,2018-03-09
1337,972233079342297088,101192,2018-03-09
1338,972235526848708608,47631,2018-03-09
1339,972240946115915776,1032,2018-03-09
1340,972243992153739265,36634,2018-03-09
1341,972245615735222273,150006,2018-03-09
1342,972248154354495488,11698,2018-03-09
1343,972248502762799104,10159,2018-03-09
1344,972335273462841344,25653,2018-03-10
1345,972336214262013952,10355,2018-03-10
1346,972338813329534976,8726,2018-03-10
1347,972553071845879809,15489,2018-03-10
1348,972628124893671432,134602,2018-03-11
1349,972697639325233154,14674,2018-03-11
1350,972754606647365632,37687,2018-03-11
1351,972996509477216256,501,2018-03-12
1352,973857445683462145,51004,2018-03-14
1353,973860151697457152,4206,2018-03-14
1354,973860794679967745,2839,2018-03-14
1355,973972643190792193,33777,2018-03-14
1356,973998998209011712,836,2018-03-14
1357,974035192565317632,150764,2018-03-14
1358,974048143871434752,472,2018-03-14
1359,974355452438888448,11081,2018-03-15
1360,974355745993969664,30132,2018-03-15
1361,974356241119035392,8424,2018-03-15
1362,975228272366759939,7357,2018-03-18
1363,975796402675703809,16558,2018-03-19
1364,975919977495543808,13292,2018-03-20
1365,976168329097416704,15670,2018-03-20
1366,976414452106055680,33724,2018-03-21
1367,976418373457215488,9729,2018-03-21
1368,976661622235152384,26387,2018-03-22
1369,976761913131524098,26792,2018-03-22
1370,976763690585223168,14109,2018-03-22
1371,976766094630305792,830,2018-03-22
1372,976766285445910533,707,2018-03-22
1373,976767152173719552,968,2018-03-22
1374,976767301574787072,399,2018-03-22
1375,976769575466356736,21976,2018-03-22
1376,976769850663043073,1018,2018-03-22
1377,976771803044446208,804,2018-03-22
1378,976774671516364800,2870,2018-03-22
1379,976992482595545088,1106,2018-03-23
1380,977041745979609088,20221,2018-03-23
1381,977113911475318784,1454,2018-03-23
1382,977127504438747136,492,2018-03-23
1383,977209059949494272,826,2018-03-23
1384,977209516012986369,9261,2018-03-23
1385,977209817012977665,63125,2018-03-23
1386,977210512021667840,1232,2018-03-23
1387,977211923719598086,21688,2018-03-23
1388,977213864969256960,1010,2018-03-23
1389,977214195698581504,8427,2018-03-23
1390,977215713646583808,1023,2018-03-23
1391,977215954349211650,3332,2018-03-23
1392,977216157080993793,12776,2018-03-23
1393,977216799354728448,8363,2018-03-23
1394,977217002564546560,14275,2018-03-23
1395,977230073173393408,7942,2018-03-23
1396,977236378105798656,6054,2018-03-23
1397,977258647641141248,54657,2018-03-23
1398,977261549080297472,6737,2018-03-23
1399,977653519078457344,10756,2018-03-24
1400,977660603975151616,34955,2018-03-24
1401,977720676722212864,12749,2018-03-25
1402,978056724950147072,32641,2018-03-25
1403,978132755740377088,854,2018-03-26
1404,978140940241059840,83186,2018-03-26
1405,978142114339995648,30396,2018-03-26
1406,978142739463208961,2809,2018-03-26
1407,978143803830775810,2721,2018-03-26
1408,978147162319085569,5439,2018-03-26
1409,978148065423970304,1679,2018-03-26
1410,978149655853744129,690,2018-03-26
1411,978498291124981763,45825,2018-03-27
1412,978502181069365249,86450,2018-03-27
1413,978665254329569280,796,2018-03-27
1414,978895114524352513,116422,2018-03-28
1415,978895981465960448,3164,2018-03-28
1416,978897638337794053,702,2018-03-28
1417,978913092443824128,8653,2018-03-28
1418,979038759646711808,4932,2018-03-28
1419,979172121514520576,2586,2018-03-29
1420,979539918086131713,2366,2018-03-30
1421,979719752988942336,2129,2018-03-30
1422,979726332320915462,35853,2018-03-30
1423,979730904087068672,15006,2018-03-30
1424,979764513233715200,13658,2018-03-30
1425,979769569706307584,3719,2018-03-30
1426,979893228160913408,11871,2018-03-31
1427,979895766880841733,1238,2018-03-31
1428,979896143604744193,1136,2018-03-31
1429,979904735972024321,76661,2018-03-31
1430,980518020358463489,96070,2018-04-01
1431,980566101124722688,155005,2018-04-01
1432,980566103356194816,53092,2018-04-01
1433,980566116614291456,139922,2018-04-01
1434,980566785803018240,2259,2018-04-01
1435,980568382591328256,3185,2018-04-01
1436,980569082838700033,7783,2018-04-01
1437,980584035679289346,2511,2018-04-01
1438,980585671218774017,4408,2018-04-01
1439,980589463611916288,3065,2018-04-01
1440,980647734888681472,9461,2018-04-02
1441,980647754555826176,911,2018-04-02
1442,980876926830039041,6425,2018-04-02
1443,980880706627715072,1477,2018-04-02
1444,980883549074018304,45733,2018-04-02
1445,980885178942816256,3772,2018-04-02
1446,980892800324575232,2793,2018-04-02
1447,980910671763193856,11983,2018-04-02
1448,980913157739765761,2501,2018-04-02
1449,980913452976816128,3733,2018-04-02
1450,981127909170593792,2440,2018-04-03
1451,981581215344939008,33461,2018-04-04
1452,981581401639198720,4611,2018-04-04
1453,981659052768817153,22081,2018-04-04
1454,981975289403076610,2771,2018-04-05
1455,982017761575518208,17489,2018-04-05
1456,982119546420002817,67842,2018-04-06
1457,982166600601124865,21607,2018-04-06
1458,982168099582431232,60203,2018-04-06
1459,982168698600353792,1190,2018-04-06
1460,982716415089299457,20337,2018-04-07
1461,982717418446512128,1124,2018-04-07
1462,982810679064199168,11658,2018-04-08
